Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5388720,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,5422069,..
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1988925,2065042,2066388,2073894,2088385,2102419,2108079,2112076,2120461,2127400,..
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,331435,440469,662379,685672,709101,728147,744498,762591,781066,800005,819198,..
"Population, total",SP.POP.TOTL,"Somalia, Fed. Rep.",SOM,7082811,8838713,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,19009151,..
"Population, total",SP.POP.TOTL,South Africa,ZAF,40746268,47159719,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187,..
"Population, total",SP.POP.TOTL,South Sudan,SSD,4737633,6032267,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,11943408,..
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,40567864,46458139,46571232,46782011,47118501,47359424,47443821,47786102,48352528,48848840,..
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,16352458,19293054,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000,..
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40432,45248,47075,47050,47008,46952,46870,46763,46709,46758,46843,..
"Population, total",SP.POP.TOTL,St. Lucia,LCA,137857,158616,175646,176342,177017,177661,178250,178522,178781,179285,179744,..
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,28224,29996,37175,36837,36012,34267,31786,29961,28870,27515,26129,..
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,111812,113545,106349,105663,104926,104167,103526,102841,102046,101323,100616,..
"Population, total",SP.POP.TOTL,Sudan,SDN,22021481,27816745,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791,50448963,..
"Population, total",SP.POP.TOTL,Suriname,SUR,412493,476643,587757,593713,599513,605768,612317,617896,623164,628886,634431,..
